"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","shuffle_type","time_min"
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,0,0,0,0,0,0,1,"local",44.0345442692439
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_2.5_ 1x 1_local","2020",FALSE,21.8669657015778,0.213422770792526,0.670178726900717,0.985625176788499,3.09500726529103,0.670178726900717,1.09554305313937,0.993646514934455,7.7475838816526,-0.578750153131537,-6.95083995806255,0.530555212227189,1,1,0,0,-1,2.5,1,"local",65.3608638803164
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_5.0_ 1x 1_local","2020",FALSE,21.9774585967671,0.323915265578364,1.13138788659353,1.49589958846048,5.22495496136162,1.13138788659353,1.66367331224662,0.986640404814434,7.30797121197376,-1.01836255189762,-12.2306237148021,0.931444762554383,2,1,0,0,-1,5,1,"local",67.2374544262886
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_10.0_ 1x 1_local","2020",FALSE,22.0132863764894,0.359743204347588,1.8021915380378,1.66135953588608,8.32284824571528,1.8021915380378,2.459529594419,0.971185573116133,6.67852762108354,-1.6478062752063,-19.7902978157116,1.51298472227425,3,2,0,-1,-1,10,1,"local",68.3989511529605
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_15.0_ 1x 1_local","2020",FALSE,21.9822940058636,0.328391187739687,2.24263054233085,1.51654503346542,10.3567036444525,2.24263054233085,2.98523953947243,0.954857026682695,6.31140004684091,-2.01477189596848,-24.1980577606071,1.87574167803809,4,2,-1,-1,-2,15,1,"local",69.5446038365364
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_20.0_ 1x 1_local","2020",FALSE,21.6583226274885,0.00477845581509229,2.69756775914345,0.022067776883118,12.45785788117,2.69756775914345,3.39205928871614,0.943671904623773,5.87848828820895,-2.44784499203512,-29.398835113208,2.3298960348022,4,2,-1,-2,-3,20,1,"local",73.5982764403025
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_25.0_ 1x 1_local","2020",FALSE,21.3534883483778,-0.300055942328967,3.07733578706183,-1.38571283435453,14.2116955346777,3.07733578706183,3.74610754396355,0.932097967723552,5.5591554920663,-2.76717792182357,-33.2340513437452,2.70443522628866,5,2,-2,-2,-3,25,1,"local",76.9719739953677
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_30.0_ 1x 1_local","2020",FALSE,20.8531046410979,-0.800451333360286,3.50005988924889,-3.69662763152838,16.1639034871567,3.50005988924889,4.11647394873911,0.92147355718067,5.25505316505659,-3.07127640118918,-36.8863179958655,3.11497779979525,5,2,-2,-3,-4,30,1,"local",74.2316442608833
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_50.0_ 1x 1_local","2020",FALSE,19.3088403742495,-2.34470556627556,5.02244297929278,-10.8282752982614,23.1945520289736,5.02244297929278,5.60199966242997,0.88305975371698,4.09406125306273,-4.23227099184596,-50.829955703892,4.69077310003287,6,1,-4,-5,-7,50,1,"local",81.4824607729912
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_65.0_ 1x 1_local","2020",FALSE,17.842933116446,-3.81107310118631,6.37284187415201,-17.5998522531274,29.4303133106277,6.37284187415201,7.0102774578599,0.840563103773786,3.22024889687029,-5.10587922750241,-61.3235726286291,6.08486376292913,7,-1,-6,-7,-9,65,1,"local",80.5003027757009
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_80.0_ 1x 1_local","2020",FALSE,16.9374240018347,-4.71612315957216,7.50650907475209,-21.7799103510288,34.6664175564313,7.50650907475209,8.19062586080188,0.780011600957556,2.28785241729571,-6.03847933513362,-72.5226848350332,7.2783272845426,9,-2,-8,-9,-11,80,1,"local",95.5483313520749
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_100.0_ 1x 1_local","2020",FALSE,15.964540929851,-5.6892015422619,9.3486303709865,-26.2735254637337,43.1732777048877,9.3486303709865,10.1529346091689,-0.0244996494315043,0.991892483983234,-7.33436381055778,-88.087173287789,8.77737799140847,11,-3,-9,-10,-12,100,1,"local",101.70137402614
"shuffle","2026-06-22_shuffle_g1","10TES","10TES_shuffle_2.5_ 2x 2_local","2020",FALSE,21.4150971869455,-0.23844612719051,0.426110213327656,-1.10118756884859,1.96785443909072,0.426110213327656,0.755798852857037,0.99635345025094,8.19757204236086,-0.128761753569314,-1.54643996655829,0.255792826349125,0,0,0,0,-1,2.5,2,"local",51.3010268847148
